"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dosage in Murine Study]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dosage in Human Study]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[B3 Vitamin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Abel Group Mouse 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 1_heart 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 1_heart 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 1_liver 144"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 1_liver 144_NADrerun"	"0"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"saline"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 10_heart 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 10_heart 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 10_heart 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 10_liver 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 10_liver 144_NADrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 10_liver 144_Namrerun"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Abel Group Mouse 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000562"	"Sample collection"	"Mouse 11_heart 144"	"500"	"milligram per kilogram body weight"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005354"	""	""	""	""	"Male"	""	""	"nicotinamide riboside chloride"	""	""	"144"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
