"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[drug treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[cell type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"A2780_24h_d_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_1"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_2"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_3"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_4"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_5"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_6"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_7"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_8"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_9"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"A2780_24h_d_10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"A2780 cell"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0001571"	"Sample collection"	"A2780_24h_d_10"	"drug"	""	""	"A2780"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
