"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[host cell line]"	"Term Source REF"	"Term Accession Number"
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"A-549 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP062"	"A549 cell"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"A-549 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP063"	"A549 cell"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"A-549 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP064"	"A549 cell"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"A-549 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP065"	"A549 cell"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"S9 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP067"	"S9 cell"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"S9 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP068"	"S9 cell"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"S9 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP069"	"S9 cell"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"HEK-293 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP070"	"HEK-293"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"HEK-293 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP071"	"HEK-293"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"HEK-293 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP072"	"HEK-293"	""	""
"cell culture supernatant"	"Homo sapiens/NCBITAXON:Staphylococcus aureus"	"NCBITAXON"	""	"N/A; Staphylococcus aureus strain HG001"	""	""	"HEK-293 cell/EFO:whole organism"	"BTO"	""	"Sample collection"	"OP073"	"HEK-293"	""	""
