"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Control 1"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"Control 1"	"Control"	""	""	"0"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"Control 2"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"Control 2"	"Control"	""	""	"0"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"Control 3"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"Control 3"	"Control"	""	""	"0"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"Control 4"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"Control 4"	"Control"	""	""	"0"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"Control 5"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"Control 5"	"Control"	""	""	"0"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"Control 6"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"Control 6"	"Control"	""	""	"0"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"Control 7"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"Control 7"	"Control"	""	""	"0"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"L17 low 1"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"L17 low 1"	"L17 low"	""	""	"190"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"L17 low 2"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"L17 low 2"	"L17 low"	""	""	"190"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"L17 low 3"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"L17 low 3"	"L17 low"	""	""	"190"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"L17 low 4"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"L17 low 4"	"L17 low"	""	""	"190"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"L17 low 5"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"L17 low 5"	"L17 low"	""	""	"190"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"L17 low 6"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"L17 low 6"	"L17 low"	""	""	"190"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
"L17 low 7"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"cerebral cortex"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000233"	"Sample collection"	"L17 low 7"	"L17 low"	""	""	"190"	"mg/kg body weight"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/228920005"
