"Sample Name"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Tomography]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Field of view]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Matrix]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Magnetic pulse sequence name]"	"Parameter Value[Voxel size]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Localisation pulse sequence name]"	"Parameter Value[Number of transients]"	"Parameter Value[Water inhibition pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Control 1"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"Control 1"	"Control 1.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Control 2"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"Control 2"	"Control 2.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Control 3"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"Control 3"	"Control 3.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Control 4"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"Control 4"	"Control 4.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Control 5"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"Control 5"	"Control 5.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Control 6"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"Control 6"	"Control 6.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Control 7"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"Control 7"	"Control 7.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"L17 low 1"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"L17 low 1"	"L17 low 1.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"L17 low 2"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"L17 low 2"	"L17 low 2.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"L17 low 3"	"Magnetic resonance imaging"	"Bruker BioSpec 117/16 USR"	""	""	"horizontal"	"30"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"In vivo magnetic resonance spectroscopy"	"0.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"2.5 x 2.5"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"256 x 256"	"dots"	""	""	"RARE"	"1.6 x 4.0 x 3.0"	"millimeter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000016"	"STEAM-1H"	"100"	"VAPOR"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"In vivo magnetic resonance assay"	"L17 low 3"	"L17 low 3.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls482_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
