"Sample Name"	"Factor Value[Well Position]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p3"	"KIT3-0-5504_1020806801_01_0_1_1_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p3"	"KIT3-0-5504_1020806801_01_0_1_2_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p3"	"KIT3-0-5504_1020806801_01_0_1_3_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"PBS"	"13"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p3_13"	"KIT3-0-5504_1020806801_13_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"PBS"	"25"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p3_25"	"KIT3-0-5504_1020806801_25_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"PBS"	"37"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p3_37"	"KIT3-0-5504_1020806801_37_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC1"	"38"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC1_p3"	"KIT3-0-5504_1020806801_38_0_1_1_03_721029.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC2"	"41"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_41"	"KIT3-0-5504_1020806801_41_0_1_1_00_1020805975.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC2"	"47"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_47"	"KIT3-0-5504_1020806801_47_0_1_1_00_1020805994.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC2"	"50"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_50"	"KIT3-0-5504_1020806801_50_0_1_1_04_721046.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC2"	"56"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_p3_56"	"KIT3-0-5504_1020806801_56_0_1_1_00_1020805980.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"p180_QC3"	"62"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC3_p3"	"KIT3-0-5504_1020806801_62_0_1_1_05_721050.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2142008"	"69"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2142008"	"KIT3-0-5504_1020806801_69_0_1_1_00_1020806766.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p1"	"KIT3-0-5504_1020804084_01_0_1_1_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p1"	"KIT3-0-5504_1020804084_01_0_1_2_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p1"	"KIT3-0-5504_1020804084_01_0_1_3_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2153953"	"3"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2153953"	"KIT3-0-5504_1020804084_03_0_1_1_00_1020803818.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"PBS"	"13"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p1_13"	"KIT3-0-5504_1020804084_13_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
"2195437"	"15"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2195437"	"KIT3-0-5504_1020804084_15_0_1_1_00_1020803837.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_fia_maf.tsv"
