"Sample Name"	"Factor Value[Well Position]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p3"	"KIT2-0-5504_1020806790_01_0_1_1_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_e03_biocrates_lcms_maf.tsv"
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p3"	"KIT2-0-5504_1020806790_01_0_1_2_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Blank"	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank_p3"	"KIT2-0-5504_1020806790_01_0_1_3_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal5"	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal5_p3"	"KIT2-0-5504_1020806790_02_0_1_1_16_20000615.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"PBS"	"13"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p3_13"	"KIT2-0-5504_1020806790_13_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal6"	"14"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal6_p3"	"KIT2-0-5504_1020806790_14_0_1_1_17_20000616.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"PBS"	"25"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p3_25"	"KIT2-0-5504_1020806790_25_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180 Cal7"	"26"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal7_p3"	"KIT2-0-5504_1020806790_26_0_1_1_18_20000617.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"PBS"	"37"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_p3_37"	"KIT2-0-5504_1020806790_37_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
"p180_QC1"	"38"	""	""	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC1_p3"	"KIT2-0-5504_1020806790_38_0_1_1_03_721029.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	""
