"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"20131126_024_JM_BM_exp12-10-18_S1_0s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_024_JM_BM_exp12-10-18_S1_0s"	"0"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_026_JM_BM_exp12-10-18_S2_5s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_026_JM_BM_exp12-10-18_S2_5s"	"5"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_028_JM_BM_exp12-10-18_S3_10s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_028_JM_BM_exp12-10-18_S3_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_030_JM_BM_exp12-10-18_S4_20s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_030_JM_BM_exp12-10-18_S4_20s"	"20"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_032_JM_BM_exp12-10-18_S5_30s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_032_JM_BM_exp12-10-18_S5_30s"	"30"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_034_JM_BM_exp12-10-18_S6_60s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_034_JM_BM_exp12-10-18_S6_60s"	"60"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_036_JM_BM_exp12-10-18_S7_120s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_036_JM_BM_exp12-10-18_S7_120s"	"120"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_038_JM_BM_exp12-10-18_S8_300s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_038_JM_BM_exp12-10-18_S8_300s"	"300"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131126_040_JM_BM_exp12-10-18_S9_600s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131126_040_JM_BM_exp12-10-18_S9_600s"	"600"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131204_072_JM_BM_internal_standard"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131204_072_JM_BM_internal_standard"	""	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_103_JM_BM_exp12-09-26_S1_0s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_103_JM_BM_exp12-09-26_S1_0s"	"0"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_105_JM_BM_exp12-09-26_S2_5s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_105_JM_BM_exp12-09-26_S2_5s"	"5"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_107_JM_BM_exp12-09-26_S3_10s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_107_JM_BM_exp12-09-26_S3_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_109_JM_BM_exp12-09-26_S4_20s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_109_JM_BM_exp12-09-26_S4_20s"	"20"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_111_JM_BM_exp12-09-26_S5_30s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_111_JM_BM_exp12-09-26_S5_30s"	"30"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_113_JM_BM_exp12-09-26_S6_60s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_113_JM_BM_exp12-09-26_S6_60s"	"60"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_115_JM_BM_exp12-09-26_S7_120s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_115_JM_BM_exp12-09-26_S7_120s"	"120"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_117_JM_BM_exp12-09-26_S8_300s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_117_JM_BM_exp12-09-26_S8_300s"	"300"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20131209_119_JM_BM_exp12-09-26_S9_600s"	"Bacillus methanolicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1471"	"Bacillus methanolicus MGA3"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"20131209_119_JM_BM_exp12-09-26_S9_600s"	"600"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
