"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Well Position]"	"Term Source REF"	"Term Accession Number"
"Blank"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank"	"KIT3-0-5504_1020804084_01_1_1_1_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"1"	""	""
"Blank"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank"	"KIT3-0-5504_1020804084_01_1_1_2_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"1"	""	""
"Blank"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank"	"KIT3-0-5504_1020804084_01_1_1_3_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"1"	""	""
"2416461"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416461"	"KIT3-0-5504_1020804084_07_1_1_1_00_1020803962.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"7"	""	""
"2416466"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416466"	"KIT3-0-5504_1020804084_11_1_1_1_00_1020803924.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"11"	""	""
"PBS"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_13"	"KIT3-0-5504_1020804084_13_1_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"13"	""	""
"p180_QC2"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_16"	"KIT3-0-5504_1020804084_16_1_1_1_00_1020803614.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"16"	""	""
"2416526"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416526"	"KIT3-0-5504_1020804084_17_1_1_1_00_1020804008.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"17"	""	""
"2416511"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416511"	"KIT3-0-5504_1020804084_19_1_1_1_00_1020804065.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"19"	""	""
"2416473"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416473"	"KIT3-0-5504_1020804084_23_1_1_1_00_1020804051.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_fia.tsv"	"23"	""	""
