"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Well Position]"	"Term Source REF"	"Term Accession Number"
"Blank"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank"	"KIT2-0-5504_1020804070_01_0_1_1_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"1"	""	""
"Blank"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank"	"KIT2-0-5504_1020804070_01_0_1_2_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"1"	""	""
"Blank"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Blank"	"KIT2-0-5504_1020804070_01_0_1_3_01_10000001.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"1"	""	""
"p180 Cal5"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal5"	"KIT2-0-5504_1020804070_02_0_1_1_16_20000615.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"2"	""	""
"2416461"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416461"	"KIT2-0-5504_1020804070_07_0_1_1_00_1020803962.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"7"	""	""
"2416466"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416466"	"KIT2-0-5504_1020804070_11_0_1_1_00_1020803924.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"11"	""	""
"PBS"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"PBS_13"	"KIT2-0-5504_1020804070_13_0_1_1_10_11000002.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"13"	""	""
"p180 Cal6"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180 Cal6"	"KIT2-0-5504_1020804070_14_0_1_1_17_20000616.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"14"	""	""
"p180_QC2"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"p180_QC2_16"	"KIT2-0-5504_1020804070_16_0_1_1_00_1020803614.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"16"	""	""
"2416526"	"Extraction"	""	""	""	"Chromatography"	"SCIEX ExionLC AC"	""	""	"ZORBAX Eclipse XDB C18 (3.5 µm, 3 mm x 100 mm; Agilent Technologies)"	"reverse phase"	"SecurityGuard C18 (3 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"2416526"	"KIT2-0-5504_1020804070_17_0_1_1_00_1020804008.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_hub_BIOCRATES_lcms.tsv"	"17"	""	""
