"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS01"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS02"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS03"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS04"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS05"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS06"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS07"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS08"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS09"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell aqueous extracts"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"10-PBS10"	"control"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
