Source Name	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Comment [specimen with known storage state]	Comment[ENA_SAMPLE]	Material Type	Provider	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[Bam MD5]	Factor Value[cell type]
CELLS_LS+K1	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	fresh specimen	ERS360420	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS+K1	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	20.12	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS+K.1	sequencing assay	ERX329221	LS+K.1.fastq.gz	LS+K.1.fastq.gz	ERR356440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356440/ERR356440_1.fastq.gz	309d0fabbea84e405e4b3d70ad5da890	200	101	P-MTAB-35357	LS+K1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS+K1.bam	97abef511706a82a55948b0e58467a77	hematopoietic stem cell and hematopoietic multipotent progenitor cell
CELLS_LS+K1	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	fresh specimen	ERS360420	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS+K1	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	20.12	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS+K.1	sequencing assay	ERX329221	LS+K.1.fastq.gz	LS+K.1.fastq.gz	ERR356440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356440/ERR356440_2.fastq.gz	309d0fabbea84e405e4b3d70ad5da890	200	101	P-MTAB-35357	LS+K1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS+K1.bam	97abef511706a82a55948b0e58467a77	hematopoietic stem cell and hematopoietic multipotent progenitor cell
CELLS_LS+K2	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	fresh specimen	ERS360419	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS+K2	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	19.83	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS+K.2	sequencing assay	ERX329220	LS+K.2.fastq.gz	LS+K.2.fastq.gz	ERR356439	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356439/ERR356439_1.fastq.gz	d47ef413ef4e99b21eae5a6d8410b6a5	200	101	P-MTAB-35357	LS+K2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS+K2.bam	6cb8d60769eba2d9bc86a528de658819	hematopoietic stem cell and hematopoietic multipotent progenitor cell
CELLS_LS+K2	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	fresh specimen	ERS360419	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS+K2	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	19.83	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS+K.2	sequencing assay	ERX329220	LS+K.2.fastq.gz	LS+K.2.fastq.gz	ERR356439	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356439/ERR356439_2.fastq.gz	d47ef413ef4e99b21eae5a6d8410b6a5	200	101	P-MTAB-35357	LS+K2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS+K2.bam	6cb8d60769eba2d9bc86a528de658819	hematopoietic stem cell and hematopoietic multipotent progenitor cell
CELLS_LS+K3	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	fresh specimen	ERS360417	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS+K3	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	19.61	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS+K.3	sequencing assay	ERX329218	LS+K.3.fastq.gz	LS+K.3.fastq.gz	ERR356437	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356437/ERR356437_1.fastq.gz	605e790a77233629f24b72abdf19aef1	200	101	P-MTAB-35357	LS+K3.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS+K3.bam	883a5c361a94fb02442153ebbffc2fee	hematopoietic stem cell and hematopoietic multipotent progenitor cell
CELLS_LS+K3	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	fresh specimen	ERS360417	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS+K3	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	19.61	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS+K.3	sequencing assay	ERX329218	LS+K.3.fastq.gz	LS+K.3.fastq.gz	ERR356437	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356437/ERR356437_2.fastq.gz	605e790a77233629f24b72abdf19aef1	200	101	P-MTAB-35357	LS+K3.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS+K3.bam	883a5c361a94fb02442153ebbffc2fee	hematopoietic stem cell and hematopoietic multipotent progenitor cell
CELLS_LS-K1	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	common myeloid progenitor	fresh specimen	ERS360416	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS-K1	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	20.32	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS-K.1	sequencing assay	ERX329217	LS-K.1.fastq.gz	LS-K.1.fastq.gz	ERR356442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356442/ERR356442_1.fastq.gz	1af74dc13d49b3eee7d950f63d4d9f76	200	101	P-MTAB-35357	LS-K1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS-K1.bam	199d9cfa75bc428255678646fcf5c23d	common myeloid progenitor
CELLS_LS-K1	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	common myeloid progenitor	fresh specimen	ERS360416	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS-K1	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	20.32	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS-K.1	sequencing assay	ERX329217	LS-K.1.fastq.gz	LS-K.1.fastq.gz	ERR356442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356442/ERR356442_2.fastq.gz	1af74dc13d49b3eee7d950f63d4d9f76	200	101	P-MTAB-35357	LS-K1.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS-K1.bam	199d9cfa75bc428255678646fcf5c23d	common myeloid progenitor
CELLS_LS-K2	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	common myeloid progenitor	fresh specimen	ERS360421	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS-K2	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	19.58	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS-K.2	sequencing assay	ERX329222	LS-K.2.fastq.gz	LS-K.2.fastq.gz	ERR356438	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356438/ERR356438_1.fastq.gz	b126f4d5cd1976d159f8f4dd388a643b	200	101	P-MTAB-35357	LS-K2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS-K2.bam	ca71a3ef01fdd73d7e49b3a3a6512e28	common myeloid progenitor
CELLS_LS-K2	Mus musculus	C57BL/6J	8 to 12	week	female	wild type	bone marrow	common myeloid progenitor	fresh specimen	ERS360421	cell	Trumpp's lab	P-MTAB-35353	P-MTAB-35354	P-MTAB-35355	P-MTAB-35356	RNA_LS-K2	polyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	180	19.58	5'-3'-3'-5	P-MTAB-35356	German Cancer Research Center (DKFZ)	LS-K.2	sequencing assay	ERX329222	LS-K.2.fastq.gz	LS-K.2.fastq.gz	ERR356438	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/ERR356438/ERR356438_2.fastq.gz	b126f4d5cd1976d159f8f4dd388a643b	200	101	P-MTAB-35357	LS-K2.bam	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1963/E-MTAB-1963.LS-K2.bam	ca71a3ef01fdd73d7e49b3a3a6512e28	common myeloid progenitor
