"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"WT_1_1"	"1_1"	""	""	"wild type"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000089"
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"WT_1_2"	"1_2"	""	""	"wild type"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000089"
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"WT_2_1"	"2_1"	""	""	"wild type"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000089"
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"WT_2_2"	"2_2"	""	""	"wild type"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000089"
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"WT_3_1"	"3_1"	""	""	"wild type"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000089"
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"WT_3_2"	"3_2"	""	""	"wild type"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000089"
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1_1_1"	"1_1"	""	""	"MPK1 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1_1_2"	"1_2"	""	""	"MPK1 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1_2_1"	"2_1"	""	""	"MPK1 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1_2_2"	"2_2"	""	""	"MPK1 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1_3_1"	"3_1"	""	""	"MPK1 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1_3_2"	"3_2"	""	""	"MPK1 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1/mpk6_1_1"	"1_1"	""	""	"MPK1/MPK6 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1/mpk6_1_2"	"1_2"	""	""	"MPK1/MPK6 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1/mpk6_2_1"	"2_1"	""	""	"MPK1/MPK6 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1/mpk6_2_2"	"2_2"	""	""	"MPK1/MPK6 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1/mpk6_3_1"	"3_1"	""	""	"MPK1/MPK6 Mutant"	""	""
"Arabidopsis exudates"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"exometabolome"	""	""	"Sample collection"	"mkp1/mpk6_3_2"	"3_2"	""	""	"MPK1/MPK6 Mutant"	""	""
