"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[material sample]"	"Term Source REF"	"Term Accession Number"
"Person4_Blood1"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_Blood1_NEG"	"Person4_Blood1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Person4_Plasma1"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_Plasma1_NEG"	"Person4_Plasma1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Person4_RBC1"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_RBC1_NEG"	"Person4_RBC1_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"erythrocyte "	"BTO"	""
"Person4_Blood2"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_Blood2_NEG"	"Person4_Blood2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Person4_Plasma2"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_Plasma2_NEG"	"Person4_Plasma2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Person4_RBC2"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_RBC2_NEG"	"Person4_RBC2_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"erythrocyte "	"BTO"	""
"Person4_Blood3"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_Blood3_NEG"	"Person4_Blood3_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
"Person4_Plasma3"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_Plasma3_NEG"	"Person4_Plasma3_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"
"Person4_RBC3"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_RBC3_NEG"	"Person4_RBC3_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"erythrocyte "	"BTO"	""
"Person4_Blood4"	"Extraction"	""	""	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"ZIC-pHILIC (5 µm, 2.1 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	""	"100-1000
"	"Thermo Scientific LTQ Orbitrap"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Person4_Blood4_NEG"	"Person4_Blood4_NEG.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls88_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"
