"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Neuropeptide Y and Y2 receptorblocker treatment]"	"Term Source REF"	"Term Accession Number"
"NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"1 y2r h ce"	"NPY treatment"	""	""
"NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"2 y2r h ce"	"NPY treatment"	""	""
"NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"3 y2r h ce"	"NPY treatment"	""	""
"NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"4 y2r h ce"	"NPY treatment"	""	""
"NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"5 y2r h ce"	"NPY treatment"	""	""
"NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"6 y2r h ce"	"NPY treatment"	""	""
"NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"7 y2r h ce"	"NPY treatment"	""	""
"control of NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"8 y2r h ce"	"sterile water (control of NPY treatment)"	""	""
"control of NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"9 y2r h ce"	"sterile water (control of NPY treatment)"	""	""
"control of NPY treatment"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SK-N-BE(2) cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002696"	"Sample collection"	"10 y2r h ce"	"sterile water (control of NPY treatment)"	""	""
