"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"control 1"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_03.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"control 2"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_04.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"control 3"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_05.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BT03 1"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"BT03"	"110113B_06.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BT03 2"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_07.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BT03 3"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_08.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"GM41 1"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GM41"	"110113B_12.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"GM41 2"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_13.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"GM41 3"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_14.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"GM41+BT03 1"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GM41+BT03"	"110113B_15.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"GM41+BT03 2"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_16.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"GM41+BT03 3"	"Extraction"	"dried extracts dissolved in acetonitrile"	"sylilation"	"N/A"	"Chromatography"	"Agilent 7890A GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"5 m Integra-Guard (Restek)"	""	""	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	""	"110113B_17.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_poplar_leaf_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
