"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Protein challenge]"	"Term Source REF"	"Term Accession Number"
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"1"	"control (no protein)"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"2"	"control (no protein)"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"3"	"control (no protein)"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"4"	"control (no protein)"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"5"	"control (no protein)"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"6"	"amyloid beta 1-40 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"7"	"amyloid beta 1-40 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"8"	"amyloid beta 1-40 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"9"	"amyloid beta 1-40 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"10"	"amyloid beta 1-40 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"11"	"amyloid beta 1-40 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"12"	"amyloid beta 1-40 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"13"	"amyloid beta 1-40 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"14"	"amyloid beta 1-40 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"15"	"amyloid beta 1-40 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"16"	"amyloid beta 1-40 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"17"	"amyloid beta 1-40 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"18"	"amyloid beta 1-40 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"19"	"amyloid beta 1-40 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"20"	"amyloid beta 1-40 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"21"	"amyloid beta 1-40 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"22"	"amyloid beta 1-40 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"23"	"amyloid beta 1-40 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"24"	"amyloid beta 1-42 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"25"	"amyloid beta 1-42 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"26"	"amyloid beta 1-42 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"27"	"amyloid beta 1-42 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"28"	"amyloid beta 1-42 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"29"	"amyloid beta 1-42 monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"30"	"amyloid beta 1-42 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"31"	"amyloid beta 1-42 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"32"	"amyloid beta 1-42 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"33"	"amyloid beta 1-42 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"34"	"amyloid beta 1-42 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"35"	"amyloid beta 1-42 oligomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"36"	"amyloid beta 1-42 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"37"	"amyloid beta 1-42 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"38"	"amyloid beta 1-42 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"39"	"amyloid beta 1-42 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"40"	"amyloid beta 1-42 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"41"	"amyloid beta 1-42 fibril"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"42"	"alpha synuclein monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"43"	"alpha synuclein monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"44"	"alpha synuclein monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"45"	"alpha synuclein monomer"	""	""
"SHSY5Y"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"SH-SY5Y cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000793"	"Sample collection"	"46"	"alpha synuclein monomer"	""	""
