"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[inoculation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[alkali stress]"	"Term Source REF"	"Term Accession Number"
"0-1-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-1-G_1"	"Rhizobium-nodulized"	""	""	"without stress treatment "	""	""
"0-2-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-2-G_1"	"Rhizobium-nodulized"	""	""	"without stress treatment "	""	""
"0-3-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-3-G_1"	"Rhizobium-nodulized"	""	""	"without stress treatment "	""	""
"0-4-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-4-G_1"	"Rhizobium-nodulized"	""	""	"without stress treatment "	""	""
"0-5-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-5-G_1"	"Rhizobium-nodulized"	""	""	"without stress treatment "	""	""
"0-6-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-6-G_1"	"Rhizobium-nodulized"	""	""	"without stress treatment "	""	""
"1-1-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"1-1-G_1"	"Rhizobium-nodulized"	""	""	"with stress treatment "	""	""
"1-2-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"1-2-G_1"	"Rhizobium-nodulized"	""	""	"with stress treatment "	""	""
"1-3-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"1-3-G_1"	"Rhizobium-nodulized"	""	""	"with stress treatment "	""	""
"1-4-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"1-4-G_1"	"Rhizobium-nodulized"	""	""	"with stress treatment "	""	""
"1-5-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"1-5-G_1"	"Rhizobium-nodulized"	""	""	"with stress treatment "	""	""
"1-6-G_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"1-6-G_1"	"Rhizobium-nodulized"	""	""	"with stress treatment "	""	""
"0-1-Z_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-1-Z_1"	"non-nodulized"	""	""	"without stress treatment "	""	""
"0-2-Z_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-2-Z_1"	"non-nodulized"	""	""	"without stress treatment "	""	""
"0-3-Z_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-3-Z_1"	"non-nodulized"	""	""	"without stress treatment "	""	""
"0-4-Z_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-4-Z_1"	"non-nodulized"	""	""	"without stress treatment "	""	""
"0-5-Z_1"	"Medicago sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3879"	"Medicago sativa cv. Longmu 806"	""	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"0-5-Z_1"	"non-nodulized"	""	""	"without stress treatment "	""	""
