"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[coculture]"	"Term Source REF"	"Term Accession Number"	"Factor Value[anaerobic]"	"Term Source REF"	"Term Accession Number"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Caco2]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Lactobacillus rhamnosus LGG]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Bacteroides caccae]"	"Term Source REF"	"Term Accession Number"
"PS_caco2_anerococult_P_79_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000195"	"Sample collection"	"PS_caco2_anerococult_P_79_1"	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_anerococult_P_79_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_anerococult_P_79_2"	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_anerococult_P_91_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_anerococult_P_91_1"	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_anerococult_P_91_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_anerococult_P_91_2"	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_caco2_anerococult_P_108_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_caco2_anerococult_P_108_1"	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"KG_caco2_anerococult_P_108_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"KG_caco2_anerococult_P_108_2"	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_56_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_56_1"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_56_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_56_2"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_87_1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_87_1"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"PS_caco2_aneroctrl_P_87_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	""	""	""	"CACO-2"	"BTO"	""	"Sample collection"	"PS_caco2_aneroctrl_P_87_2"	"0"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
