"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SD01_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD01_Pos"	"SD01_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD02_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD02_Pos"	"SD02_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD03_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD03_Pos"	"SD03_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD04_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD04_Pos"	"SD04_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD05_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD05_Pos"	"SD05_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD06_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD06_Pos"	"SD06_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD07_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD07_Pos"	"SD07_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD08_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD08_Pos"	"SD08_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD09_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD09_Pos"	"SD09_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD10_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD10_Pos"	"SD10_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD02_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD02_Pos"	"LD02_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD03_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD03_Pos"	"LD03_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD04_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD04_Pos"	"LD04_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD05_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD05_Pos"	"LD05_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD06_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD06_Pos"	"LD06_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD07_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD07_Pos"	"LD07_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD08_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD08_Pos"	"LD08_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LD09_Pos"	"Extraction"	"60 µL 4:1 methanol:water containing 0.25% formic acid"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"LD09_Pos"	"LD09_Pos.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_pos_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
