"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"Sample collection"	"Complexity_wo_drying_control_Rep_1"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_control_Rep_2"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_control_Rep_3"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_1_Rep_1"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_1_Rep_2"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_1_Rep_3"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_2_Rep_1"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_2_Rep_2"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_2_Rep_3"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_3_Rep_1"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_3_Rep_2"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_wo_drying_Level_3_Rep_3"	"Complexity_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_control_Rep_1"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_control_Rep_2"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_control_Rep_3"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_1_Rep_1"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_1_Rep_2"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_1_Rep_3"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_2_Rep_1"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_2_Rep_2"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_2_Rep_3"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_3_Rep_1"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_3_Rep_2"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Complexity_w_drying_Level_3_Rep_3"	"Complexity_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_w_drying_Rep_1"	"MSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_w_drying_Rep_2"	"MSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_w_drying_Rep_3"	"MSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_w_drying_Rep_4"	"MSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_w_drying_Rep_5"	"MSTFA_w_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_wo_drying_Rep_1"	"MSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_wo_drying_Rep_2"	"MSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_wo_drying_Rep_3"	"MSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_wo_drying_Rep_4"	"MSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MSTFA_wo_drying_Rep_5"	"MSTFA_wo_drying"	""	""
"method development"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"MTBSTFA _w_drying_Rep_1"	"MTBSTFA_w_drying"	""	""
