Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell]	Term Source REF	Term Accession Number	Characteristics[cell provider]	Characteristics[cellular component]	Term Source REF	Term Accession Number	Characteristics[life cycle stage]	Characteristics[genotype]	Characteristics[passage number]	Protocol REF	Parameter Value[cell culture vessel]	Parameter Value[cell culture configuration]	Parameter Value[cell culture matrix]	Term Source REF	Term Accession Number	Parameter Value[seeding density]	Parameter Value[cell culture medium]	Parameter Value[cell culture serum]	Parameter Value[cell culture serum concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[cell culture antibiotics]	Parameter Value[cell culture temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[cell culture CO2 partial pressure]	Parameter Value[cell confluence level]	Unit	Term Source REF	Term Accession Number	Parameter Value[plate identifier]	Parameter Value[plate well number]	Parameter Value[plate well column coordinate]	Parameter Value[plate well row coordinate]	Protocol REF	Parameter Value[perturbation order]	Parameter Value[perturbation agent type]	Parameter Value[perturbation agent]	Term Source REF	Term Accession Number	Parameter Value[perturbation agent delivery]	Parameter Value[perturbation agent solvent]	Term Source REF	Term Accession Number	Parameter Value[perturbation agent solvent concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[perturbation dose]	Parameter Value[perturbation duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[targeted gene identifier]	Parameter Value[gene construct tag]	Parameter Value[mode of expression]	Sample Name	Characteristics[genotype]	Factor Value[perturbation agent]	Term Source REF	Term Accession Number	Factor Value[perturbation dose]	Factor Value[perturbation time post exposure]	Unit	Term Source REF	Term Accession Number
CL1	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p190a	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														3	2	D	perturbation	1	chemical compound	y27632			addition to medium				10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	medium dose								culture1	Bcr-Abl p190a	y27632			10 uM				
CL2	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p210	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														7	4	D	perturbation	1	chemical compound	y27632			addition to medium				10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	medium dose								culture2	Bcr-Abl p210	y27632			10 uM				
CL3	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p210mut	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														11	6	D	perturbation	1	chemical compound	y27632			addition to medium				10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	medium dose								culture3	Bcr-Abl p210mut	y27632			10 uM				
CL1	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p190a	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														1	2	B	perturbation	1	chemical compound	n/A			addition to medium																culture4	Bcr-Abl p190a	n/A			n/A				
CL2	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p210	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														5	4	B	perturbation	1	chemical compound	n/A			addition to medium																culture5	Bcr-Abl p210	n/A			n/A				
CL3	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p210mut	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														9	6	B	perturbation	1	chemical compound	n/A			addition to medium																culture6	Bcr-Abl p210mut	n/A			n/A				
CL1	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p190a	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														4	2	E	perturbation	1	chemical compound	y27632			addition to medium				10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	medium dose								culture7	Bcr-Abl p190a	y27632			10 uM				
CL2	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p210	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														8	4	E	perturbation	1	chemical compound	y27632			addition to medium				10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	medium dose								culture8	Bcr-Abl p210	y27632			10 uM				
CL3	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p210mut	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														12	6	E	perturbation	1	chemical compound	y27632			addition to medium				10	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	medium dose								culture9	Bcr-Abl p210mut	y27632			10 uM				
CL1	Homo sapiens			BA/F3 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001842					N/A	Bcr-Abl p190a	1	cell growth	coated microplate	monolayer	2_mg/ml Matrigel (BD Biosciences)			2500 cells/well	RPMI 1640	fetal bovine serum	10	%														2	2	C	perturbation	1	chemical compound	n/A			addition to medium																culture10	Bcr-Abl p190a	n/A			n/A				
