"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diagnosis]"	"Term Source REF"	"Term Accession Number"
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"1"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"2"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"3"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"4"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"5"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"6"	"SEPSIS"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"7"	"SEPSIS"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"8"	"SEPSIS"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"9"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"10"	"SEPSIS"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"11"	"SEPSIS"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"12"	"SEPSIS"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"13"	"SEPSIS"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"14"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"15"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"16"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"17"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"18"	"OA & OCD"	""	""
"Synovial Fluid"	"Equus caballus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9796"	"synovia"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001339"	"Sample collection"	"19"	"OA & OCD"	""	""
