"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Purity]"	"Term Source REF"	"Term Accession Number"
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Ganenat"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Esteran Ganenat"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Tassala Rostamabad"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Shahsavan"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Kayla"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Shahri"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Farzad"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Renus"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Milad"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Golapich"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Amiri"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Afzon"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Gohar"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Nishabour"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Farhang"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Razi"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Saharkhiz"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Pure fine quality"	"pure substance"	""	""
"Saffron_Dolatabadi_2016"	"Crocus sativus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/82528"	"stigma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001303"	"Sample collection"	"Harabon"	"pure substance"	""	""
