"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[wetting time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[successional stage]"	"Term Source REF"	"Term Accession Number"
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"1A-earlySS-3min"	"A"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"1B-earlySS-3min"	"B"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"1C-earlySS-3min"	"C"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"1D-earlySS-3min"	"D"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"1E-earlySS-3min"	"E"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlySS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"2A-earlymidSS-3min"	"A"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"2B-earlymidSS-3min"	"B"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"2C-earlymidSS-3min"	"C"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"2D-earlymidSS-3min"	"D"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"2E-earlymidSS-3min"	"E"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"earlymidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"3A-latemidSS-3min"	"A"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"3B-latemidSS-3min"	"B"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"3C-latemidSS-3min"	"C"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"3D-latemidSS-3min"	"D"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"latemidSS"	""	""
"biocrust"	"soil biocrust"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000910"	"exometabolome"	""	""	"Sample collection"	"3E-latemidSS-3min"	"E"	""	""	"3"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"latemidSS"	""	""
