"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"CZ1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ1_10s"	"CZ1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ2_10s"	"CZ2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CZ3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"CZ3_10s"	"CZ3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA1_10s"	"KA1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA2_10s"	"KA2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"KA3_10s"	"KA3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT1_10s"	"LT1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT2_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT2_10s"	"LT2_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LT3_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"LT3_10s"	"LT3_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MP1_10s"	"Extraction"	"none"	"none"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS)"	""	""	"VF-WAXms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	""	""	"high polarity"	""	""	"Rxi-17Sil MS (0.15 μm, 0.15 mm x 1.5 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"n/a"	"35-350"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"MP1_10s"	"MP1_10s.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_sauvignon_blanc_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
