"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Pro_1"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_1"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"Plimited"	""	""	"A"	""	""
"Pro_2"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_2"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"Plimited"	""	""	"A"	""	""
"Pro_3"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"exometabolome"	""	""	"Sample collection"	"Pro_3"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"Plimited"	""	""	"B"	""	""
"Pro_4"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus marinus str. MIT 9301"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_167546"	"endometabolome"	""	""	"Sample collection"	"Pro_4"	"MIT9301"	""	""	"50"	"µmol photons/m^2/s"	""	""	"Plimited"	""	""	"B"	""	""
"Pro_5"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus sp. MIT 0801"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1501269"	"exometabolome"	""	""	"Sample collection"	"Pro_5"	"MIT0801"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_6"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus sp. MIT 0801"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1501269"	"endometabolome"	""	""	"Sample collection"	"Pro_6"	"MIT0801"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"A"	""	""
"Pro_7"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus sp. MIT 0801"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1501269"	"exometabolome"	""	""	"Sample collection"	"Pro_7"	"MIT0801"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_8"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus sp. MIT 0801"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1501269"	"endometabolome"	""	""	"Sample collection"	"Pro_8"	"MIT0801"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"B"	""	""
"Pro_9"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus sp. MIT 0801"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1501269"	"exometabolome"	""	""	"Sample collection"	"Pro_9"	"MIT0801"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
"Pro_10"	"Prochlorococcus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1218"	"Prochlorococcus sp. MIT 0801"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1501269"	"endometabolome"	""	""	"Sample collection"	"Pro_10"	"MIT0801"	""	""	"10"	"µmol photons/m^2/s"	""	""	"replete"	""	""	"C"	""	""
