"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Metabolite source]"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_1"	"control 2"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""	"1"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_3"	"blank"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	""	""	"0"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_5"	"monuron"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"2"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_7"	"nifedipine"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"2"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_9"	"ochratoxin A"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""	"2"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_11"	"potassium bromate"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"2"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_13"	"monuron"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"3"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_15"	"nifedipine"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"3"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_17"	"sodium diclofenac"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""	"2"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_19"	"control 1"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"2"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_21"	"ochratoxin A"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""	"3"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_23"	"nifedipine"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"2"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_25"	"monuron"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""	"1"	""	""
"UCD01_091019"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal epithelial cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005545"	"Sample collection"	"Intracellular fraction"	""	""	"UCD01_091019_27"	"ochratoxin A"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""	"2"	""	""
