"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"YY1"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY1"	"Data transformation"	""	"YnYn-1d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY2"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY2"	"Data transformation"	""	"YnYn-2d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY3"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY3"	"Data transformation"	""	"YnYn-3d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY4"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY4"	"Data transformation"	""	"YnYn-4d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY7"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY7"	"Data transformation"	""	"YnYn-7d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY10"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY10"	"Data transformation"	""	"YnYn-10d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY11"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY11"	"Data transformation"	""	"YnYn-11d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY14"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY14"	"Data transformation"	""	"YnYn-14d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY15"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY15"	"Data transformation"	""	"YnYn-15d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY16"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY16"	"Data transformation"	""	"YnYn-16d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY19-1"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY19-1"	"Data transformation"	""	"YnYn-19d-1.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY19-2"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY19-2"	"Data transformation"	""	"YnYn-19d-2.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY19-3"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY19-3"	"Data transformation"	""	"YnYn-19d-3.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY22"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY22"	"Data transformation"	""	"YnYn-22d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY23"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY23"	"Data transformation"	""	"YnYn-23d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY25"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY25"	"Data transformation"	""	"YnYn-25d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY26"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY26"	"Data transformation"	""	"YnYn-26d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY27"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY27"	"Data transformation"	""	"YnYn-27d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY29"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY29"	"Data transformation"	""	"YnYn-29d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY30"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY30"	"Data transformation"	""	"YnYn-30d.raw"	"Metabolite identification"	""	"m_mtbls165_YY_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
