"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"LL8"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL8"	"Data transformation"	""	"LiLi-8d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL9"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL9"	"Data transformation"	""	"LiLi-9d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL11"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL11"	"Data transformation"	""	"LiLi-11d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL12"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL12"	"Data transformation"	""	"LiLi-12d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL13"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL13"	"Data transformation"	""	"LiLi-13d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL14"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL14"	"Data transformation"	""	"LiLi-14d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL15"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL15"	"Data transformation"	""	"LiLi-15d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL16"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL16"	"Data transformation"	""	"LiLi-16d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL18"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL18"	"Data transformation"	""	"LiLi-18d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL19"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL19"	"Data transformation"	""	"LiLi-19d.raw"	"Metabolite identification"	""	"m_mtbls165_mature_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
