"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell Type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Point]"	"Unit"	"Term Source REF"	"Term Accession Number"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0.25hr A"	"OCC"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0.25hr B"	"OCC"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0.25hr C"	"OCC"	""	""	"0.25"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0.50hr A"	"OCC"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0.50hr C"	"OCC"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 0.50hr C"	"OCC"	""	""	"0.5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 08hr A"	"OCC"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 08hr B"	"OCC"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 08hr C"	"OCC"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 24hr A"	"OCC"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 24hr B"	"OCC"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 24hr C"	"OCC"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 48hr A"	"OCC"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 48hr B"	"OCC"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC 48hr C"	"OCC"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Initial A"	"OCC"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Initial B"	"OCC"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCC Initial C"	"OCC"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCCmedia 24hr A"	"OCC"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCCmedia 24hr B"	"OCC"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCCmedia 24hr C"	"OCC"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCCmedia 48hr A"	"OCC"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCCmedia 48hr B"	"OCC"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCCmedia 48hr C"	"OCC"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"intracellular"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ovarian serous adenocarcinoma cell line"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003804"	"Sample collection"	"OCCmedia Initial A"	"OCC"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
