"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_48h_1"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_48h_2"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_48h_3"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_48h_4"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_48h_5"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_96h_1"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_96h_2"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_96h_3"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_96h_4"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_DON_96h_5"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_0h_1"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_0h_2"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_0h_3"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_0h_4"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_0h_5"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_12h_1"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_12h_2"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_12h_3"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_12h_4"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_12h_5"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_24h_1"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_24h_2"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_24h_3"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_24h_4"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_24h_5"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_48h_1"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_48h_2"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_48h_3"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_48h_4"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_48h_5"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_96h_1"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_96h_2"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_96h_3"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_96h_4"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"Remus_W_96h_5"	"Control"	"BP"	"http://www.biopax.org/release/biopax-level3.owl#Control"	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Remus"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_0h_1"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_0h_2"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_0h_3"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_0h_5"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_12h_1"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_12h_2"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_12h_3"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_12h_4"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_12h_5"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_24h_1"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_24h_2"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_24h_3"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_24h_4"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_24h_5"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
"Wheat ears"	"Triticum aestivum"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_4565"	"spike"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001278"	"Sample collection"	"C1_DON_48h_1"	"deoxynivalenol"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C007262"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"C1"	""	""
