"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Thermal Desorption unit]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"ASM_1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ASM_1"	"ASM_7H_293847_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ASM_2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ASM_2"	"ASM_15H_293845_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ASM_3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ASM_3"	"ASM_15H_293848_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ASM_4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ASM_4"	"ASM_24H_293845_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_1"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_1"	"EC_ASM_10H_293806_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_2"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_2"	"EC_ASM_10H_293807_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_3"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_3"	"EC_ASM_10H_293808_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_4"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_4"	"EC_ASM_10H_293822_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_5"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_5"	"EC_ASM_10H_293823_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_6"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_6"	"EC_ASM_10H_293824_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_7"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_7"	"EC_ASM_12H_293809_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Ec_ASM_8"	"Extraction"	""	""	""	"Chromatography"	"Agilent 6890N GC"	""	""	"Markes International UltrA 2"	""	""	"Markes International UNITY 2"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"40-500"	"Waters GCT Premier"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Ec_ASM_8"	"EC_ASM_12H_293810_1.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls497_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
