"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Bacteria]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Media]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"N1"	"Artificial sputum medium"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"ASM_1"	"ASM"	""	""	"Artificial sputum medium"	""	""	"7"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N2"	"Artificial sputum medium"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"ASM_2"	"ASM"	""	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N3"	"Artificial sputum medium"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"ASM_3"	"ASM"	""	""	"Artificial sputum medium"	""	""	"15"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N4"	"Artificial sputum medium"	""	""	""	""	""	"headspace"	""	""	"Sample collection"	"ASM_4"	"ASM"	""	""	"Artificial sputum medium"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N5"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_1"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N6"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_2"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N7"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_3"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N8"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_4"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N9"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_5"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"N10"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli ATCC 25922"	""	""	"headspace"	""	""	"Sample collection"	"Ec_ASM_6"	"Escherichia coli"	"EFO"	""	"Artificial sputum medium"	""	""	"10"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
