"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[dose]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doce24h1_1"	"docetaxel anhydrous"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_4672"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doce24hr2_1"	"docetaxel anhydrous"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_4672"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doce48hr2_1"	"docetaxel anhydrous"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_4672"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doce48hr3_1"	"docetaxel anhydrous"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_4672"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doce48r1_1"	"docetaxel anhydrous"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_4672"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doxo24hr2_1"	"doxorubicin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_28748"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doxo24r1_1"	"doxorubicin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_28748"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doxo48h2_1"	"doxorubicin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_28748"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doxo48hr1_1"	"doxorubicin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_28748"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"Doxo48hr3_1"	"doxorubicin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_28748"	"medium dose"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J01_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Jurkat"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"JURKAT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000661"	"Sample collection"	"J02_1"	"Negative Control"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64357"	"no dose"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
