"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Doce24h1_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doce24h1_1"	"Doce24h1_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doce24hr2_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doce24hr2_1"	"Doce24hr2_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doce48hr2_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doce48hr2_1"	"Doce48hr2_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doce48hr3_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doce48hr3_1"	"Doce48hr3_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doce48r1_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doce48r1_1"	"Doce48r1_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doxo24hr2_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doxo24hr2_1"	"Doxo24hr2_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doxo24r1_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doxo24r1_1"	"Doxo24r1_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doxo48h2_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doxo48h2_1"	"Doxo48h2_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doxo48hr1_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doxo48hr1_1"	"Doxo48hr1_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
"Doxo48hr3_1"	"Extraction"	""	""	"n/a"	"Chromatography"	"Agilent 7890A GC"	""	""	"Agilent 7683B Automatic Liquid Sampler"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	""	""	"low polarity"	""	""	"Rtx-200 (0.25 µm, 0.25 mm x 2 m; Restek)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-500"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"Doxo48hr3_1"	"Doxo48hr3_1.csv"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Jurkat_mass_spectrometry_v2_maf.tsv"
