Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[cell type]	Characteristics[phenotype]	Characteristics[batch]	Characteristics[single cell well quality]	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[spike sequence file]	Comment[spike_in_concentration.txt]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[phenotype]	Factor value [individual]
sample01	  	Homo sapiens	medullary thymic epithelial cell	patient2-CEACAM5(neg)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample01	PAIRED	other	GENOMIC	not applicable	OTHER	95	56	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample01	sequencing assay	  	ATAC_1	  	  	  	ATAC_1.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient2-CEACAM5(neg)	not applicable
sample02	  	Homo sapiens	medullary thymic epithelial cell	patient2-CEACAM5(pos)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample02	PAIRED	other	GENOMIC	not applicable	OTHER	90	52	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample02	sequencing assay	  	ATAC_2	  	  	  	ATAC_2.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient2-CEACAM5(pos)	not applicable
sample03	  	Homo sapiens	medullary thymic epithelial cell	patient2-MUC1(neg)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample03	PAIRED	other	GENOMIC	not applicable	OTHER	79	43	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample03	sequencing assay	  	ATAC_3	  	  	  	ATAC_3.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient2-MUC1(neg)	not applicable
sample04	  	Homo sapiens	medullary thymic epithelial cell	patient2-MUC2(pos)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample04	PAIRED	other	GENOMIC	not applicable	OTHER	74	38	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample04	sequencing assay	  	ATAC_4	  	  	  	ATAC_4.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient2-MUC2(pos)	not applicable
sample05	  	Homo sapiens	medullary thymic epithelial cell	patient3-CEACAM5(neg)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample05	PAIRED	other	GENOMIC	not applicable	OTHER	86	49	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample05	sequencing assay	  	ATAC_5	  	  	  	ATAC_5.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient3-CEACAM5(neg)	not applicable
sample06	  	Homo sapiens	medullary thymic epithelial cell	patient3-CEACAM5(pos)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample06	PAIRED	other	GENOMIC	not applicable	OTHER	110	73	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample06	sequencing assay	  	ATAC_6	  	  	  	ATAC_6.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient3-CEACAM5(pos)	not applicable
sample07	  	Homo sapiens	medullary thymic epithelial cell	patient3-MUC1(neg)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample07	PAIRED	other	GENOMIC	not applicable	OTHER	81	48	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample07	sequencing assay	  	ATAC_7	  	  	  	ATAC_7.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient3-MUC1(neg)	not applicable
sample08	  	Homo sapiens	medullary thymic epithelial cell	patient3-MUC1(pos)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample08	PAIRED	other	GENOMIC	not applicable	OTHER	73	40	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample08	sequencing assay	  	ATAC_8	  	  	  	ATAC_8.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient3-MUC1(pos)	not applicable
sample09	  	Homo sapiens	medullary thymic epithelial cell	patient1-CEACAM5(pos)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample09	PAIRED	other	GENOMIC	not applicable	OTHER	113	85	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample09	sequencing assay	  	PB10	  	  	  	PB10.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient1-CEACAM5(pos)	not applicable
sample10	  	Homo sapiens	medullary thymic epithelial cell	patient1-CEACAM5(neg)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample10	PAIRED	other	GENOMIC	not applicable	OTHER	124	95	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample10	sequencing assay	  	PB11	  	  	  	PB11.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient1-CEACAM5(neg)	not applicable
sample11	  	Homo sapiens	medullary thymic epithelial cell	patient1-MUC1(neg)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample11	PAIRED	other	GENOMIC	not applicable	OTHER	135	107	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample11	sequencing assay	  	PB8	  	  	  	PB8.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient1-MUC1(neg)	not applicable
sample12	  	Homo sapiens	medullary thymic epithelial cell	patient1-MUC1(pos)	AtacHiCov	N/A	cell	ATAC-seq	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45034	Philip Brennecke	sample12	PAIRED	other	GENOMIC	not applicable	OTHER	118	88	5'-3'-3'-5'	  	  	P-MTAB-45035	Philip Brennecke	sample12	sequencing assay	  	PB9	  	  	  	PB9.counts.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3624/E-MTAB-3624.processed.1.zip	patient1-MUC1(pos)	not applicable
cell10S1	ERS756063	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S1	sequencing assay	ERX1000506	cell10S1.fastq.gz	cell10S1.fastq.gz	ERR920972	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920972/ERR920972_1.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S1
cell10S1	ERS756063	Mus musculus	medullary thymic epithelial cell	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	stanford10	OK	cell	single cell transcriptome sequencing	P-MTAB-45031	Kristin Rattay and Sheena Pinto	P-MTAB-45032	Philip Brennecke	cell10S1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	OTHER	190	106	5'-3'-3'-5'	E-MTAB-3624_spike_in_sequences.fa	E-MTAB-3624_spike_in_concentration.txt	P-MTAB-45033	Philip Brennecke	cell10S1	sequencing assay	ERX1000506	cell10S1.fastq.gz	cell10S1.fastq.gz	ERR920972	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR920/ERR920972/ERR920972_2.fastq.gz	  	  	PI(neg)CD45(neg)Ly51(neg)EpCAM(pos)MHCII(high)Klk5(qPCR-pos)	cell10S1
