"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Extraction replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection replicate]"	"Term Source REF"	"Term Accession Number"
"WTA01-11S_1-D,2_01_27748"	"Extraction"	""	""	"WTA01-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA01-11S_1-D,2_01_27748"	"WTA01-11S_1-D,2_01_27748.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA01-12S_1-D,2_01_27819"	"Extraction"	""	""	"WTA01-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA01-12S_1-D,2_01_27819"	"WTA01-12S_1-D,2_01_27819.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA01-21S_2-D,2_01_27784"	"Extraction"	""	""	"WTA01-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA01-21S_2-D,2_01_27784"	"WTA01-21S_2-D,2_01_27784.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA01-22S_2-D,2_01_27855"	"Extraction"	""	""	"WTA01-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA01-22S_2-D,2_01_27855"	"WTA01-22S_2-D,2_01_27855.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA02-11S_1-B,2_01_27731"	"Extraction"	""	""	"WTA02-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA02-11S_1-B,2_01_27731"	"WTA02-11S_1-B,2_01_27731.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA02-12S_1-B,2_01_27802"	"Extraction"	""	""	"WTA02-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA02-12S_1-B,2_01_27802"	"WTA02-12S_1-B,2_01_27802.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
"WTA02-21S_2-B,2_01_27766"	"Extraction"	""	""	"WTA02-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA02-21S_2-B,2_01_27766"	"WTA02-21S_2-B,2_01_27766.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"1"	""	""
"WTA02-22S_2-B,2_01_27837"	"Extraction"	""	""	"WTA02-2"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA02-22S_2-B,2_01_27837"	"WTA02-22S_2-B,2_01_27837.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"2"	""	""	"2"	""	""
"WTA08-11_1-A,6_01_28936"	"Extraction"	""	""	"WTA08-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA08-11_1-A,6_01_28936"	"WTA08-11_1-A,6_01_28936.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"1"	""	""
"WTA08-12_1-A,6_01_29001"	"Extraction"	""	""	"WTA08-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA08-12_1-A,6_01_29001"	"WTA08-12_1-A,6_01_29001.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"	"1"	""	""	"2"	""	""
