"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apparent metabolisable energy]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Coefficient of digestive utilisation of starch]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Coefficient of digestive utilisation of lipids]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Coefficient of digestive utilisation of nitrogen]"	"Unit"	"Term Source REF"	"Term Accession Number"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"S-24"	"1675.59"	"kcal/kg"	""	""	"Female"	""	""	"63.461"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"11.299"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"54.542"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"ileal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000969"	"Sample collection"	"I-24"	"1675.59"	"kcal/kg"	""	""	"Female"	""	""	"63.461"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"11.299"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"54.542"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"cecal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000970"	"Sample collection"	"C-24"	"1675.59"	"kcal/kg"	""	""	"Female"	""	""	"63.461"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"11.299"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"54.542"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"S-34"	"1851.39"	"kcal/kg"	""	""	"Female"	""	""	"66.779"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"9.589"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"69.89"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"ileal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000969"	"Sample collection"	"I-34"	"1851.39"	"kcal/kg"	""	""	"Female"	""	""	"66.779"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"9.589"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"69.89"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"cecal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000970"	"Sample collection"	"C-34"	"1851.39"	"kcal/kg"	""	""	"Female"	""	""	"66.779"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"9.589"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"69.89"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"S-58"	"1865.69"	"kcal/kg"	""	""	"Male"	""	""	"82.379"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"N/A"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"68.405"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"ileal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000969"	"Sample collection"	"I-58"	"1865.69"	"kcal/kg"	""	""	"Male"	""	""	"82.379"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"N/A"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"68.405"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"S-59"	"2167.47"	"kcal/kg"	""	""	"Female"	""	""	"93.49"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"23.208"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"69.253"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
"AIL-8"	"Gallus gallus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9031"	"ileal content"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000969"	"Sample collection"	"I-59"	"2167.47"	"kcal/kg"	""	""	"Female"	""	""	"93.49"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"23.208"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"69.253"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"
