Sample Name	Protocol REF	Parameter Value[medium]	Parameter Value[serum]	Parameter Value[serum concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[medium volume]	Unit	Term Source REF	Term Accession Number	Parameter Value[migration modulator]	Parameter Value[modulator concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[modulator distribution]	Protocol REF	Parameter Value[imaging technique]	Parameter Value[imaging technique temporal feature]	Parameter Value[acquisition duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[time interval]	Unit	Term Source REF	Term Accession Number	Parameter Value[objective type]	Term Source REF	Term Accession Number	Parameter Value[objective magnification]	Parameter Value[objective numerical aperture]	Parameter Value[acquisition channel count]	Parameter Value[reporter]	Parameter Value[voxel size]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[software]	Term Source REF	Term Accession Number	Data Transformation Name	Derived Data File	Factor Value[perturbation agent]	Term Source REF	Term Accession Number	Factor Value[perturbation dose]	Unit	Term Source REF	Term Accession Number	Factor Value[perturbation time post exposure]	Unit	Term Source REF	Term Accession Number
culture1	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A1	/path/to/A1_raw_images.tiff	data transformation	CELLMIA			DT1	/path/to/DT1_trackfile.json	vehicle compound			N/A				0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture2	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A2	/path/to/A2_raw_images.tiff	data transformation	CELLMIA			DT2	/path/to/DT2_trackfile.json	vehicle compound			N/A				0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture3	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A3	/path/to/A3_raw_images.tiff	data transformation	CELLMIA			DT3	/path/to/DT3_trackfile.json	vehicle compound			N/A				0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture4	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A4	/path/to/A4_raw_images.tiff	data transformation	CELLMIA			DT4	/path/to/DT4_trackfile.json	vehicle compound			N/A				0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture5	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A5	/path/to/A5_raw_images.tiff	data transformation	CELLMIA			DT5	/path/to/DT5_trackfile.json	vehicle compound			N/A				0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture6	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A6	/path/to/A6_raw_images.tiff	data transformation	CELLMIA			DT6	/path/to/DT6_trackfile.json	vehicle compound			N/A				0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture7	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A7	/path/to/A7_raw_images.tiff	data transformation	CELLMIA			DT7	/path/to/DT7_trackfile.json	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture8	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A8	/path/to/A8_raw_images.tiff	data transformation	CELLMIA			DT8	/path/to/DT8_trackfile.json	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture9	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A9	/path/to/A9_raw_images.tiff	data transformation	CELLMIA			DT9	/path/to/DT9_trackfile.json	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture10	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A10	/path/to/A10_raw_images.tiff	data transformation	CELLMIA			DT10	/path/to/DT10_trackfile.json	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture11	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A11	/path/to/A11_raw_images.tiff	data transformation	CELLMIA			DT11	/path/to/DT11_trackfile.json	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture12	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A12	/path/to/A12_raw_images.tiff	data transformation	CELLMIA			DT12	/path/to/DT12_trackfile.json	EGF	PR	http://purl.obolibrary.org/obo/PR_000006928	5	nanomolar	UO	http://purl.obolibrary.org/obo/UO_0000065	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
culture13	migration assay																gradient	imaging	phase-contrast microscopy	dynamic	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	15	minute	UO	http://purl.obolibrary.org/obo/UO_0000031				10								A13	/path/to/A13_raw_images.tiff	data transformation	CELLMIA			DT13	/path/to/DT13_trackfile.json	crizotinib	CHEBI	http://purl.obolibrary.org/obo/CHEBI_64310	1	micromolar	UO	http://purl.obolibrary.org/obo/UO_0000064	0	hour	UO	 http://purl.obolibrary.org/obo/UO_0000032
