"Sample Name"	"Factor Value[season]"	"Term Source REF"	"Term Accession Number"	"Factor Value[species]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Summer_Fistax_01"	"Summer"	""	""	"Fissidens taxifolius"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_01_Fistax_1-A.2_01_5715"	"neg_01_Fistax_1-A,2_01_5715.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Fistax_02"	"Summer"	""	""	"Fissidens taxifolius"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_02_Fistax_1-A.3_01_5716"	"neg_02_Fistax_1-A,3_01_5716.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Fistax_03"	"Summer"	""	""	"Fissidens taxifolius"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_03_Fistax_1-A.4_01_5717"	"neg_03_Fistax_1-A,4_01_5717.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Polstr_01"	"Summer"	""	""	"Polytrichum strictum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_04_Polstr_1-A.5_01_5718"	"neg_04_Polstr_1-A,5_01_5718.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Polstr_02"	"Summer"	""	""	"Polytrichum strictum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_05_Polstr_1-A.6_01_5719"	"neg_05_Polstr_1-A,6_01_5719.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Polstr_03"	"Summer"	""	""	"Polytrichum strictum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_06_Polstr_1-A.7_01_5720"	"neg_06_Polstr_1-A,7_01_5720.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Hypcup_01"	"Summer"	""	""	"Hypnum cupressiforme s. l."	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_07_Hypcup_1-A.8_01_5721"	"neg_07_Hypcup_1-A,8_01_5721.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Gripul_01"	"Summer"	""	""	"Grimmia pulvinata"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_08_Gripul_1-B.1_01_5724"	"neg_08_Gripul_1-B,1_01_5724.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Plaund_01"	"Summer"	""	""	"Plagiomnium undulatum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_09_Plaund_1-B.2_01_5727"	"neg_09_Plaund_1-B,2_01_5727.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
"Summer_Plaund_02"	"Summer"	""	""	"Plagiomnium undulatum"	""	""	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1mm x100mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_10_Plaund_1-B.3_01_5728"	"neg_10_Plaund_1-B,3_01_5728.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_bryos_metabolite_profiling_mass_spectrometry_negative_mode.maf.tsv"
