"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_006_POS"	"1"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_007_POS"	"2"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_008_POS"	"3"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_009_POS"	"4"	""	""	"1"	""	""
"QC"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"20150707_QC_010_POS"	"5"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006001_POS"	"6"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006031_POS"	"7"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006091_POS"	"8"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006002_POS"	"9"	""	""	"1"	""	""
"healthy"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006092_POS"	"10"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006003_POS"	"11"	""	""	"1"	""	""
"disease"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001969"	"Sample collection"	"MS15006033_POS"	"12"	""	""	"1"	""	""
