"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"mut_t1_a"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"mut_t1_a"	"mut_t1_a.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"mut_t1_b"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"mut_t1_b"	"mut_t1_b.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"mut_t1_c"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"mut_t1_c"	"mut_t1_c.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"mut_t2_a"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"mut_t2_a"	"mut_t2_a.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"mut_t2_b"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"mut_t2_b"	"mut_t2_b.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"mut_t2_c"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"mut_t2_c"	"mut_t2_c.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"wt_t1_a"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"wt_t1_a"	"wt_t1_a.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"wt_t1_b"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"wt_t1_b"	"wt_t1_b.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"wt_t1_c"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"wt_t1_c"	"wt_t1_c.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
"wt_t2_a"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	""	""	"low polarity"	""	""	"BPX50 (0.1 µm, 0.1 mm x 2 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-750"	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"wt_t2_a"	"wt_t2_a.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_creinhardtii_metabolite profiling_mass spectrometry_v2_maf.tsv"
