"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Scan range]"	"Term Source REF"	"Term Accession Number"
"C01.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C01_K1_low_pos"	"012_CRa_H9M5_M470_C01_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"C03.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C03_K1_low_pos"	"025_CRa_H9M5_M470_C03_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"C14.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C14_K1_low_pos"	"030_CRa_H9M5_M470_C14_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"L01.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"L01_K1_low_pos"	"034_CRa_H9M5_M470_L01_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Low dose"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"L03.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"L03_K1_low_pos"	"040_CRa_H9M5_M470_L03_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Low dose"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"L14.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"L14_K1_low_pos"	"044_CRa_H9M5_M470_L14_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Low dose"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"H01.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"H01_K1_low_pos"	"006_CRa_H9M5_M470_H01_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"High dose"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"H03.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"H03_K1_low_pos"	"017_CRa_H9M5_M470_H03_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"High dose"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"H14.R1"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"H14_K1_low_pos"	"008_CRa_H9M5_M470_H14_K1_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"High dose"	""	""	"Replicate 1"	""	""	"Separate"	""	""
"C01.R2"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-200"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"C01_K2_low_pos"	"035_CRa_H9M5_M470_C01_K2_low_pos.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Control"	""	""	"Replicate 2"	""	""	"Separate"	""	""
