"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[carbon source]"	"Term Source REF"	"Term Accession Number"
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_1_int"	"cell-free control"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_2_int"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_3_int"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_4_int"	"cell-free control"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_5_int"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_6_int"	"with Ruegeria"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_7_int"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_8_int"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Propionate"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_9_int"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
"bacterial metabolites"	"Ruegeria pomeroyi"	""	""	"Ruegeria pomeroyi DSS-3"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_246200"	"endometabolome"	""	""	"Sample collection"	"Rpom3_10_int"	"with Ruegeria"	""	""	"32"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DMSP"	""	""
