"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Parameter Value[Calibrant list]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"
"batch01_QC01"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_QC01"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_QC01"	"batch01_QC01__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_QC01__Dataset02_AT"	"batch01_QC01__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_QC01__Dataset03_FS"	"batch01_QC01__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_QC01__Dataset05_SPL"	"batch01_QC01__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_QC01__Dataset06_FPL"	"batch01_QC01__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	"Dataset07__SFPM"	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	"Dataset08a__SFPM_PQN"	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	"Dataset9a__SFPM_PQN_KNN"	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	"Dataset10a__SFPM_PQN_KNN_GLOG"	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_QC02"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_QC02"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_QC02"	"batch01_QC02__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_QC02__Dataset02_AT"	"batch01_QC02__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_QC02__Dataset03_FS"	"batch01_QC02__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_QC02__Dataset05_SPL"	"batch01_QC02__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_QC02__Dataset06_FPL"	"batch01_QC02__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_QC03"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_QC03"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_QC03"	"batch01_QC03__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_QC03__Dataset02_AT"	"batch01_QC03__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_QC03__Dataset03_FS"	"batch01_QC03__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_QC03__Dataset05_SPL"	"batch01_QC03__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_QC03__Dataset06_FPL"	"batch01_QC03__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_C05"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_C05"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_C05"	"batch01_C05__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_C05__Dataset02_AT"	"batch01_C05__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_C05__Dataset03_FS"	"batch01_C05__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_C05__Dataset05_SPL"	"batch01_C05__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_C05__Dataset06_FPL"	"batch01_C05__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_S03"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_S03"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_S03"	"batch01_S03__Dataset01_IRF.zip"	"Averaging of transients"	""	""	"Apodisation, Zero-filling and Fourier Transformation"	""	""	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	""	""	"Replicate Filtering"	""	""	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	""	"PQN Normalisation"	""	""	"Missing Values Imputation - KNN"	""	""	"Glog Transformation"	""	""	""	""	""	""	""	""	""
"batch01_S07"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_S07"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_S07"	"batch01_S07__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_S07__Dataset02_AT"	"batch01_S07__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_S07__Dataset03_FS"	"batch01_S07__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_S07__Dataset05_SPL"	"batch01_S07__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_S07__Dataset06_FPL"	"batch01_S07__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_C01"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_C01"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_C01"	"batch01_C01__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_C01__Dataset02_AT"	"batch01_C01__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_C01__Dataset03_FS"	"batch01_C01__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_C01__Dataset05_SPL"	"batch01_C01__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_C01__Dataset06_FPL"	"batch01_C01__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_C10"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_C10"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_C10"	"batch01_C10__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_C10__Dataset02_AT"	"batch01_C10__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_C10__Dataset03_FS"	"batch01_C10__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_C10__Dataset05_SPL"	"batch01_C10__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_C10__Dataset06_FPL"	"batch01_C10__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_QC04"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_QC04"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_QC04"	"batch01_QC04__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_QC04__Dataset02_AT"	"batch01_QC04__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_QC04__Dataset03_FS"	"batch01_QC04__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_QC04__Dataset05_SPL"	"batch01_QC04__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_QC04__Dataset06_FPL"	"batch01_QC04__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
"batch01_S01"	"Extraction"	"80:20 methanol/water"	"other"	"batch01_S01"	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	""	"batch01_S01"	"batch01_S01__Dataset01_IRF.zip"	"Averaging of transients"	"batch01_S01__Dataset02_AT"	"batch01_S01__Dataset02_AT.zip"	"Apodisation, Zero-filling and Fourier Transformation"	"batch01_S01__Dataset03_FS"	"batch01_S01__Dataset03_FS.zip"	"Mass Calibration and SIM-stitching"	"Dataset04_CalibrantList.txt"	""	""	"batch01_S01__Dataset05_SPL"	"batch01_S01__Dataset05_SPL.zip"	"Replicate Filtering"	"batch01_S01__Dataset06_FPL"	"batch01_S01__Dataset06_FPL.zip"	"Sample Filtering including TIC-filtering, Blank Filtering and Missing-value Filtering"	""	"Dataset07__SFPM.xlsx"	"PQN Normalisation"	""	"Dataset08a__SFPM_PQN.xlsx"	"Missing Values Imputation - KNN"	""	"Dataset9a__SFPM_PQN_KNN.xlsx"	"Glog Transformation"	""	"Dataset10a__SFPM_PQN_KNN_GLOG.xlsx"	""	""	""	""	""	""	""
