"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stress]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gene knockout]"	"Term Source REF"	"Term Accession Number"
"B11"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"1"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"wild type genotype"	""	""
"B12"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"2"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"wild type genotype"	""	""
"B13"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"3"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"mutant strain"	""	""
"B14"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"4"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B15"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"5"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B16"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"mutant strain"	""	""
"B17"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"7"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B18"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"8"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"mutant strain"	""	""
"B19"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"9"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B110"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"10"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Control"	""	""	"mutant strain"	""	""
"B111"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"11"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Toluene liquid"	""	""	"wild type genotype"	""	""
"B112"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"12"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene and liquid "	""	""	"mutant strain"	""	""
"B113"	"Pseudomonas putida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/303"	"Pseudomonas putida DOT-T1E"	"PR"	"http://purl.obolibrary.org/obo/NCBITaxon_1196325"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"13"	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"Gas toluene"	""	""	"wild type genotype"	""	""
