"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Mtab_FT_012611_13"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_13"	"Mtab_FT_012611_13.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_14"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_14"	"Mtab_FT_012611_14.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_15"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_15"	"Mtab_FT_012611_15.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_16"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_16"	"Mtab_FT_012611_16.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_17"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_17"	"Mtab_FT_012611_17.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_18"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_18"	"Mtab_FT_012611_18.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_27"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_27"	"Mtab_FT_012611_27.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_28"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_28"	"Mtab_FT_012611_28.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_29"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_29"	"Mtab_FT_012611_29.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mtab_FT_012611_30"	"Extraction"	"90:10 (v/v) water:acetonitrile"	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"Mtab_FT_012611_30"	"Mtab_FT_012611_30.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
