"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"BB1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BB1"	"BB1.MS"	"Data transformation"	""	"BB1.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BB2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BB2"	"BB2.MS"	"Data transformation"	""	"BB2.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BB3"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BB3"	"BB3.MS"	"Data transformation"	""	"BB3.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BB4"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BB4"	"BB4.MS"	"Data transformation"	""	"BB4.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BC1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BC1"	"BC1.MS"	"Data transformation"	""	"BC1.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BC2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BC2"	"BC2.MS"	"Data transformation"	""	"BC2.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BC3"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BC3"	"BC3.MS"	"Data transformation"	""	"BC3.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BC4"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BC4"	"BC4.MS"	"Data transformation"	""	"BC4.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BT1"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BT1"	"BT1.MS"	"Data transformation"	""	"BT1.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BT2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 6890 GC"	""	""	"Agilent 7683 Series Automatic Liquid Sampler"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m EZGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"45-600 m/z"	"Agilent 5973N MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"BT2"	"BT2.MS"	"Data transformation"	""	"BT2.swx"	"Metabolite identification"	""	"m_automated_derivatisation_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
