"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spike in volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gap Penalty]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Retention Time Modulation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Threshold]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Window]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Min Number Ions]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Relative Intensity]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Skewing]"	"Term Source REF"	"Term Accession Number"
"Metabolomics Australia.Group-1.Subject-1.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA1_1"	"Spiked"	""	""	"50"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-1.Subject-2.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA1_2"	"Spiked"	""	""	"50"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-1.Subject-3.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA1_3"	"Spiked"	""	""	"50"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-2.Subject-1.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA2_1"	"Spiked"	""	""	"25"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-2.Subject-2.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA2_2"	"Spiked"	""	""	"25"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-2.Subject-3.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA2_3"	"Spiked"	""	""	"25"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-3.Subject-1.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA3_1"	"Spiked"	""	""	"12"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-3.Subject-2.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA3_2"	"Spiked"	""	""	"12"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-3.Subject-3.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA3_3"	"Spiked"	""	""	"12"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
"Metabolomics Australia.Group-4.Subject-1.bovine serum albumin-grown cell"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"fetal serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000448"	"Sample collection"	"APC_BSTFA4_1"	"Spiked"	""	""	"6"	"microliter"	"UO"	""	"0.3"	""	""	"2.5"	""	""	"6000"	""	""	"13"	""	""	"3"	""	""	"2"	""	""	"2"	""	""
