"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model 2]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type 2]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MH0001"	"Extraction"	""	""	"MH0001"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0002"	"Extraction"	""	""	"MH0002"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0003"	"Extraction"	""	""	"MH0003"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0004"	"Extraction"	""	""	"MH0004"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0005"	"Extraction"	""	""	"MH0005"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0006"	"Extraction"	""	""	"MH0006"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0007"	"Extraction"	""	""	"MH0007"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0008"	"Extraction"	""	""	"MH0008"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0009"	"Extraction"	""	""	"MH0009"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
"MH0010"	"Extraction"	""	""	"MH0010"	"Chromatography"	"Agilent 6890 GC"	""	""	"Rxi-5ms (0.18 µm, 0.18 mm x 10 m; Restek)"	""	""	"low polarity"	""	""	"methyl deactivated retention gap (0.53 mm x 1.5 m)"	""	""	"BPX-50 (0.1 µm, 0.1 mm x 1.5 m; SGE)"	""	""	"medium polarity"	""	""	""	""	""	""	"Mass spectrometry"	""	""	"LECO Pegasus 4D"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	""	"deposition_metabolomicsD.xlsx"	"Data transformation"	""	"deposition_metabolomicsD.xlsx"	"Metabolite identification"	""	"m_GCxGC_mass_spectrometry_v2_maf.tsv"
