"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Variability Level]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment ]"	"Term Source REF"	"Term Accession Number"
"Twn001_MA10"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn001_MA10"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn002_MA11"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn002_MA11"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn003_MA15"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn003_MA15"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn004_MA16"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn004_MA16"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn005_MA18"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn005_MA18"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn006_MA3"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn006_MA3"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn007_MA8"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn007_MA8"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn008_MA7"	"Montipora aequituberculata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/105609"	"endometabolome"	""	""	"Sample collection"	"Twn008_MA7"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn009_PD12"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn009_PD12"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn010_PD14"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn010_PD14"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn011_PD19"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn011_PD19"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn012_PD20"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn012_PD20"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn013_PD25"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn013_PD25"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn014_PD26"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn014_PD26"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn015_PD27"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn015_PD27"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn016_PD5"	"Pocillopora damicornis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46731"	"endometabolome"	""	""	"Sample collection"	"Twn016_PD5"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn017_PL17"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn017_PL17"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn018_PL20"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn018_PL20"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn019_PL13"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn019_PL13"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn020_PL18"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn020_PL18"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn021_PL12"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn021_PL12"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn022_PL16"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn022_PL16"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn023_PL19"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn023_PL19"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn024_PL14"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	"endometabolome"	""	""	"Sample collection"	"Twn024_PL14"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn025_SH39"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn025_SH39"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
"Twn026_SH36"	"Seriatopora hystrix"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/51070"	"endometabolome"	""	""	"Sample collection"	"Twn026_SH36"	"N/A"	""	""	"N/A"	""	""	"Species Comparison "	""	""
