"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS224_A"	"DFMO_low"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS225_A"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS226_A"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS227_A"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS228"	"DFMO_low"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS229"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"1"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS230"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS231"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS232"	"DFMO_low"	""	""	"20 µM DFMO"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"DFMO_low"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"GMS233"	"DFMO_low"	""	""	"No drug"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"3"	""	""
