"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[inorganic phosphate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample6"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample11"	"with Thalassiosira"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample15"	"cell-free control"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample19"	"with Thalassiosira"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample14"	"with Thalassiosira"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample8"	"with Thalassiosira"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample5"	"cell-free control"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample24"	"cell-free control"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"0.4"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample2"	"with Thalassiosira"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Tps6_sample7"	"cell-free control"	""	""	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"36"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
