"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Kimchi]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"2NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"2NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"2MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"2MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"2SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"2SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"5SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"8SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"12SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"16SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"20SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25MKB"	"kimchi with myeolchi-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25SKA"	"kimchi with saeu-jeot"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"25SKB"	"kimchi with saeu-jeot"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30CKA"	"kimchi without jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30CKB"	"kimchi without jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30NKA"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"A"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30NKB"	"kimchi with salinity adjusted with salt instead of jeotgal"	""	""	"B"	""	""
"Kimchi"	"Brassica rapa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa subsp. pekinensis"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_51351"	"kimchi"	"MEO"	"http://purl.jp/bio/11/meo/MEO_0000017"	"Sample collection"	"30MKA"	"kimchi with myeolchi-jeot"	""	""	"A"	""	""
