"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Total mass injected]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Standard_Mix_1"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_1"	"0.02"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_2"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_2"	"0.05"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_3"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_3"	"0.09"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_4"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_4"	"0.18"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_5"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_5"	"0.37"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_6"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_6"	"0.74"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_7"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_7"	"1.5"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_8"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_8"	"2.2"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_9"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_9"	"3.3"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_10"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Standard_Mix_10"	"5"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_HQC"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Curva_HQC"	"5"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_MQC"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Curva_MQC"	"1.5"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
"Standard_Mix_LQC"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"Curva_LQC"	"0.18"	"nanogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000024"
