"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan m/z range]"	"Parameter Value[Scan polarity]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"17"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"17"	"17_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"16"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"16"	"16_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"18"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"18"	"18_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"19"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"19"	"19_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"20"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"20"	"20_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"15"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"15"	"15_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"81"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"81"	"81_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"9"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"9"	"9_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"10"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"10"	"10_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
"11"	"Extraction"	"isopropyl alcohol/0.1% formic acid"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	""	"negative"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"quadrupole time-of-flight"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"11"	"11_neg.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_NEG_lipid_mass_spectrometry_v2_maf.tsv"
