"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Sampling]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Subset]"	"Term Source REF"	"Term Accession Number"
"Blanc04"	"Extraction"	""	""	"Blanc04"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blanc04"	"Blanc04.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"NA"	""	""	"ne1"	""	""	"16"	""	""	"1"	""	""
"Blanc06"	"Extraction"	""	""	"Blanc06"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blanc06"	"Blanc06.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"NA"	""	""	"ne1"	""	""	"42"	""	""	"1"	""	""
"Blanc09"	"Extraction"	""	""	"Blanc09"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blanc09"	"Blanc09.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"NA"	""	""	"ne1"	""	""	"81"	""	""	"1"	""	""
"Blanc12"	"Extraction"	""	""	"Blanc12"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blanc12"	"Blanc12.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"NA"	""	""	"ne1"	""	""	"120"	""	""	"1"	""	""
"Blanc15"	"Extraction"	""	""	"Blanc15"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blanc15"	"Blanc15.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"NA"	""	""	"ne1"	""	""	"159"	""	""	"1"	""	""
"HU_017"	"Extraction"	""	""	"HU_neg_017"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"HU_neg_017"	"HU_neg_017.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"1"	""	""	"ne1"	""	""	"17"	""	""	"1"	""	""
"HU_028"	"Extraction"	""	""	"HU_neg_028"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"HU_neg_028"	"HU_neg_028.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"2"	""	""	"ne1"	""	""	"23"	""	""	"1"	""	""
"HU_034"	"Extraction"	""	""	"HU_neg_034"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"HU_neg_034"	"HU_neg_034.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"2"	""	""	"ne1"	""	""	"26"	""	""	"1"	""	""
"HU_051"	"Extraction"	""	""	"HU_neg_051"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"HU_neg_051"	"HU_neg_051.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"3"	""	""	"ne1"	""	""	"45"	""	""	"1"	""	""
"HU_060"	"Extraction"	""	""	"HU_neg_060"	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"HU_neg_060"	"HU_neg_060.mzML"	"Data transformation"	""	""	"Metabolite identification"	"DT1"	"m_sacurine_v2_maf.tsv"	"3"	""	""	"ne1"	""	""	"51"	""	""	"1"	""	""
