"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch number]"	"Term Source REF"	"Term Accession Number"
"A01"	"Extraction"	""	""	"ex_A01"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_H1_85"	"targeted_positive_lipid2_20121114_Lipdi_2_H1_85.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"184"	""	""	"2"	""	""
"A02"	"Extraction"	""	""	"ex_A02"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_B12_24"	"targeted_positive_lipid2_20121114_Lipdi_2_B12_24.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"111"	""	""	"2"	""	""
"A03"	"Extraction"	""	""	"ex_A03"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_H6_90"	"targeted_positive_lipid1_20121114_Lipid_1_H6_90.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"93"	""	""	"1"	""	""
"A04"	"Extraction"	""	""	"ex_A04"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_G6_78"	"targeted_positive_lipid1_20121114_Lipid_1_G6_78.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"81"	""	""	"1"	""	""
"A05"	"Extraction"	""	""	"ex_A05"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_F11_71"	"targeted_positive_lipid1_20121114_Lipid_1_F11_71.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"62"	""	""	"1"	""	""
"A06"	"Extraction"	""	""	"ex_A06"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_B2_14"	"targeted_positive_lipid2_20121114_Lipdi_2_B2_14.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"113"	""	""	"2"	""	""
"A07"	"Extraction"	""	""	"ex_A07"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_E1_49"	"targeted_positive_lipid1_20121114_Lipid_1_E1_49.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"52"	""	""	"1"	""	""
"A08"	"Extraction"	""	""	"ex_A08"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_G3_75"	"targeted_positive_lipid2_20121114_Lipdi_2_G3_75.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"174"	""	""	"2"	""	""
"A09"	"Extraction"	""	""	"ex_A09"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid1_20121114_Lipid_1_D10_46"	"targeted_positive_lipid1_20121114_Lipid_1_D10_46.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"37"	""	""	"1"	""	""
"A10"	"Extraction"	""	""	"ex_A10"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"AB SCIEX QTRAP 5500"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"lipid2_20121114_Lipdi_2_H10_94"	"targeted_positive_lipid2_20121114_Lipdi_2_H10_94.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"181"	""	""	"2"	""	""
