"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"CAF 105EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF 105EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAF 105EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF 105EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAF 105EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF 105EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAF 231EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF 231EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAF 231EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF 231EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAF 231EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF 231EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAF PBS1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF PBS1"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAF PBS2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF PBS2"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAF PBS3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF PBS3"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAF Vec EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF Vec EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAF Vec EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF Vec EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAF Vec EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAF Vec EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFLA 105EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 105EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFLA 105EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 105EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFLA 105EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 105EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/high-miR-105 exosome"	""	""
"CAFLA PBS1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA PBS1"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFLA PBS2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA PBS2"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFLA PBS3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA PBS3"	"human cancer-associated fibroblasts (CAF)"	""	""	"PBS"	""	""
"CAFLA 231EV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 231EV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFLA 231EV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 231EV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFLA 231EV3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA 231EV3"	"human cancer-associated fibroblasts (CAF)"	""	""	"231/high-miR-105 exosome"	""	""
"CAFLA VecEV1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA VecEV1"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
"CAFLA VecEV2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Cancer-Associated Fibroblasts"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D000072645"	"Sample collection"	"CAFLA VecEV2"	"human cancer-associated fibroblasts (CAF)"	""	""	"10A/low-miR-105 exosome"	""	""
