Sample Name	Beta	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
K-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	K-1	K-1-1.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
K-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	K-1	K-1-2.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
K-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	K-1	K-1-3.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
K-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	K-1	K-1-4.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
K-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	K-1	K-1-5.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
L-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	L-1	L-1-1.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
L-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	L-1	L-1-2.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
L-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	L-1	L-1-3.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
L-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	L-1	L-1-4.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
L-1		Extraction				Chromatography	Waters ACQUITY UPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000877		"CORTECS UPLC C18 (1.6 µm, 2.1 mm x 100 mm; Waters)"	reverse phase	"CORTECS C18 VanGuard Pre-column (1.6 µm, 2.1 mm x 5 mm; Waters)"					Mass spectrometry	Negative	375-401	Waters Xevo TQ-S	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000685	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000698	L-1	L-1-5.CDF	Data transformation			Metabolite identification		m_MTBLS1846_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
