Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File	Gamma
K-1	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	K-1	K-1.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
L-1	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L-1	L-1.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
M-1	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	M-1	M-1.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
N-1	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	N-1	N-1.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
K-3	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	K-3	K-3.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
L-3	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L-3	L-3.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
M-3	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	M-3	M-3.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
N-3	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	N-3	N-3.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
K-5	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	K-5	K-5.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
L-5	Extraction				Chromatography	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019		"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	low polarity						Mass spectrometry	Positive	38-550	LECO Pegasus HT TOFMS	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001019	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084	L-5	L-5.cdf	Data transformation			Metabolite identification		m_MTBLS1846_GC-MS_positive__metabolite_profiling_v2_maf.tsv	
