database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	K-1	L-1	M-1	N-1	K-3	L-3	M-3	N-3	K-5	L-5	M-5	N-5	L-6	M-6	N-6
CHEBI:16031	C10H10N2O	NC(=O)Cc1c[nH]c2ccccc12	InChI=1S/C10H10N2O/c11-10(13)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H2,11,13)	1H-Indole-3-acetamide																	299.87	1687.88	336.63	353.72	259.12	97.64	318.82	169.54	208.98	293.09	370.61	120.68	568.53	428.08	185.26
CHEBI:1148		CCC(O)C(O)=O	InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)	2-Hydroxybutyric acid																	9.14	17.9	20.59	20.58	8.91	9.98	27.35	14.86	11.58	15.96	163	12.85	62.62	24.83	18.33
				2-Methylpentanoic acid																	1484.3	13462.07	1947.25	11768.12	3553.61	13133.76	431.81	46542.97	983.05	15180.86	540.65	2814.02	9591.24	638.49	15339.71
CHEBI:55484		NC(C(O)=O)c1ccccc1	InChI=1S/C8H9NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5,7H,9H2,(H,10,11)	2-Phenylglycine																	56.94	274.86	48.7	138.12	168.49	8.55	431.81	43.34	25.69	143.45	154.62	170.73	227.26	142.12	48.46
CHEBI:45525		CC[C@@H](C)C(O)=O	InChI=1S/C5H10O2/c1-3-4(2)5(6)7/h4H,3H2,1-2H3,(H,6,7)/t4-/m1/s1	2-methyl-Butanoic acid																	618.14	969.96	890.73	1614.26	752.99	697.36	630.68	650.93	273.79	451.36	75.96	880.5	653.07	660.1	1033.78
CHEBI:86369		OC(CC(O)=O)c1cccc(O)c1	InChI=1S/C9H10O4/c10-7-3-1-2-6(4-7)8(11)5-9(12)13/h1-4,8,10-11H,5H2,(H,12,13)	3-3-Hydroxyphenyl-3-hydroxypropanoic acid																	25.11	2919.34	33.29	146.55	125.87	926.57	377.35	69.91	72.75	5236.68	540.65	123.37	924.16	8445.44	154.46
CHEBI:27389		CC(CN)C(O)=O	InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	3-Aminoisobutanoic acid																	17.13	652.99	34.06	164.77	46.59	166.26	40.06	125.86	147.73	200.93	133.27	27.59	353.02	306.72	82.66
CHEBI:20067		CC(O)CC(O)=O	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)	3-Hydroxybutyric acid																	4438.89	9710.33	11286.64	26396.17	8148.1	3547.72	5032.98	22844.64	9419.85	2449.08	540.65	176.21	1708.73	1572.35	19900.33
CHEBI:37084		CC(C)(O)CC(O)=O	InChI=1S/C5H10O3/c1-5(2,8)3-4(6)7/h8H,3H2,1-2H3,(H,6,7)	3-Hydroxyisovaleric acid																	17.24	37.32	52.85	44.76	19.85	15.65	49.42	66.53	14.7	58.62	253.83	176.21	45.4	331.34	51.67
CHEBI:17445		OC(=O)Cc1cccc(O)c1	InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)	3-Hydroxyphenylacetic acid																	34.14	274.86	88.59	224.53	68.11	65.32	105.07	64.06	25.54	232.84	261.4	35.4	373.89	237.37	74.35
CHEBI:17566		C1=2C(=CNC1=CC=CC2)CC#N	InChI=1S/C10H8N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5H2	3-Indoleacetonitrile																	108.91	50.69	94.68	264.08	63.71	73.19	106.75	518.54	54.04	274.69	295.19	322.67	431.03	282.11	124.13
				3-Indolepropionic acid																	927.85	4791.81	7976.29	1701.3	3685.55	3012.31	6711.52	3503.8	5155.09	2959.38	8488.42	1736.02	7367.72	3926.38	3370.77
CHEBI:35932		CCC(C)C(=O)C(O)=O	InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	3-Methyl-2-oxovaleric acid																	159.95	189.25	1260.78	848.17	131.7	217.7	853.3	630.55	161.61	262.97	895.58	1168.4	672.38	2006.64	517.6
