"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"C24 I POSITIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 I POSITIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"1"	""	""
"C24 II POSITIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 II POSITIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"2"	""	""
"C24 III POSITIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 III POSITIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"3"	""	""
"R24 I POSITIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 I POSITIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"1"	""	""
"R24 II POSITIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 II POSITIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"2"	""	""
"R24 III POSITIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 III POSITIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"3"	""	""
"C48 I POSITIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 I POSITIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"1"	""	""
"C48 II POSITIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 II POSITIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"2"	""	""
"C48 III POSITIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 III POSITIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"3"	""	""
"R48 I POSITIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 I POSITIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"1"	""	""
"R48 II POSITIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 II POSITIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"2"	""	""
"R48 III POSITIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 III POSITIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"3"	""	""
"R48 MS/MS POSITIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 MS/MS POSITIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"1"	""	""
"C24 I NEGATIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 I NEGATIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"1"	""	""
"C24 II NEGATIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 II NEGATIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"2"	""	""
"C24 III NEGATIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 III NEGATIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"3"	""	""
"R24 I NEGATIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 I NEGATIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"1"	""	""
"R24 II NEGATIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 II NEGATIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"2"	""	""
"R24 III NEGATIVE MODE"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 III NEGATIVE MODE"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected"	""	""	"3"	""	""
"C48 I NEGATIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 I NEGATIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"1"	""	""
"C48 II NEGATIVE MODE"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 II NEGATIVE MODE"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"2"	""	""
